reduction_12	reduction_36	reduction_72
0	12	48
0	12	49
0	12	50
0	12	51
0	12	52
0	13	53
0	13	54
0	13	55
0	14	56
0	14	57
1	14	58
1	15	59
1	16	60
1	16	61
1	16	62
1	16	63
1	16	64
1	16	65
1	17	66
1	17	67
1	18	68
2	18	69
2	19	70
2	19	71
3	20	72
3	20	73
3	20	74
3	21	75
3	21	76
3	22	77
3	22	78
4	22	79
4	23	80
4	24	81
4	25	82
5	26	83
5	26	84
5	27	85
5	27	86
5	28	87
5	29	88
5	29	89
5	29	90
5	30	91
6	30	92
6	30	93
6	31	94
6	31	95
6	32	96
6	32	97
6	33	98
6	33	99
7	34	100
7	34	101
7	35	102
7	36	103
7	36	104
8	37	105
8	38	106
8	38	107
8	39	108
8	40	109
9	41	110
9	42	111
9	43	112
10	44	113
10	44	114
10	45	115
10	45	116
11	46	117
11	47	118
11	47	119
